Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
-1.726, -0.667, -10.003, -3.759, -170.231, 0.000
0.275, 0.196, -9.924, 1.132, 178.415, 0.000
4.354, -2.746, -9.611, -14.588, 156.461, 0.000
0.824, -0.667, -9.375, -4.053, 174.991, 0.000
-2.511, 0.039, -11.690, 0.188, -167.879, 0.000
-3.844, -0.981, -1.922, -12.853, -119.306, 0.000
-16.122, 2.236, 1.020, 7.880, -81.333, 0.000
-10.199, 0.275, 4.040, 1.434, -68.344, 0.000
-9.179, 0.745, 3.099, 4.399, -70.851, 0.000
-9.493, 0.235, 3.138, 1.349, -71.659, 0.000
-9.414, 0.471, 1.098, 2.843, -82.766, 0.000
-10.513, 0.863, 2.157, 4.597, -77.536, 0.000
-8.826, -0.078, 0.863, -0.507, -84.393, 0.000
-9.571, -0.118, 1.608, -0.695, -80.437, 0.000
-10.160, -0.157, 0.745, -0.882, -85.713, 0.000
-10.317, 0.039, 0.902, 0.217, -84.997, 0.000
-9.571, 1.177, 1.373, 6.939, -79.301, 0.000
-9.767, 2.550, 0.353, 14.621, -75.236, 0.000
-9.454, 1.883, 1.020, 11.201, -77.237, 0.000
-9.611, 1.648, 0.745, 9.699, -79.344, 0.000
-9.454, 1.059, 0.981, 6.359, -81.319, 0.000
-10.160, 1.451, 1.020, 8.090, -80.096, 0.000
-9.454, 1.608, 0.628, 9.634, -79.651, 0.000
-9.218, 1.726, 1.216, 10.516, -77.100, 0.000
-9.571, 2.864, 1.373, 16.497, -71.645, 0.000
-9.297, 3.727, 1.373, 21.630, -66.869, 0.000
-9.140, 3.295, 1.138, 19.685, -69.123, 0.000
-9.140, 2.746, 0.981, 16.632, -72.307, 0.000
-9.336, 3.727, 1.138, 21.615, -67.347, 0.000
-8.983, 3.138, 1.020, 19.143, -69.830, 0.000
-9.336, 3.766, 0.824, 21.890, -67.564, 0.000
-8.865, 3.923, 0.941, 23.750, -65.532, 0.000
-9.336, 4.393, 0.824, 25.116, -64.415, 0.000
-9.218, 4.433, 0.667, 25.622, -64.068, 0.000
-9.022, 3.962, 1.020, 23.574, -65.608, 0.000
-8.748, 4.119, 0.745, 25.134, -64.429, 0.000
-9.218, 3.727, 1.059, 21.881, -67.205, 0.000
-9.061, 3.923, 0.785, 23.330, -66.180, 0.000
-9.061, 4.040, 0.981, 23.908, -65.353, 0.000
-8.826, 3.687, 1.530, 22.374, -65.662, 0.000
-8.983, 3.923, 0.863, 23.494, -65.909, 0.000
-8.944, 3.923, 0.902, 23.576, -65.770, 0.000
-8.865, 3.609, 0.667, 22.094, -67.512, 0.000
-9.571, 3.844, 0.628, 21.840, -67.856, 0.000
-9.454, 3.373, 0.314, 19.629, -70.283, 0.000
-9.061, 4.276, 0.667, 25.201, -64.472, 0.000
-9.140, 3.766, 1.020, 22.268, -66.884, 0.000
-8.826, 3.373, 0.824, 20.835, -68.523, 0.000
-9.571, 3.962, 0.981, 22.381, -66.905, 0.000
-9.336, 3.687, 0.981, 21.445, -67.771, 0.000
-9.179, 3.295, 1.138, 19.608, -69.205, 0.000
-9.061, 3.334, 0.981, 20.094, -69.016, 0.000
-9.218, 3.256, 1.138, 19.317, -69.488, 0.000
-9.218, 3.530, 1.098, 20.821, -68.145, 0.000
-9.218, 3.295, 1.059, 19.550, -69.421, 0.000
-9.650, 3.217, 0.902, 18.360, -70.904, 0.000
-9.964, 3.844, 0.981, 21.005, -68.288, 0.000
-12.121, 0.667, 0.039, 3.149, -86.846, 0.000
-7.728, -2.079, -1.334, -14.848, -107.726, 0.000
-7.218, -4.040, -2.981, -27.356, -124.825, 0.000
-3.256, -4.158, -4.550, -36.618, -152.157, 0.000
-1.922, -5.217, -7.728, -33.231, -168.352, 0.000
-6.159, -3.609, -8.669, -18.746, -146.741, 0.000
-1.608, -4.315, -7.806, -28.431, -169.778, 0.000
-1.216, -3.609, -8.434, -22.954, -172.449, 0.000
-1.020, -3.060, -9.061, -18.549, -173.913, 0.000
-1.059, -2.785, -8.748, -17.541, -173.419, 0.000
-1.294, -2.707, -8.748, -17.018, -171.953, 0.000
-1.294, -2.824, -9.414, -16.552, -172.497, 0.000
-1.216, -2.707, -9.022, -16.558, -172.644, 0.000
-1.373, -2.511, -8.630, -16.029, -171.315, 0.000
-1.451, -2.628, -9.807, -14.848, -171.864, 0.000
-1.804, -2.001, -8.904, -12.418, -168.816, 0.000
-2.040, -2.040, -9.061, -12.386, -167.614, 0.000
